#ppt,"","","","","","","","","","","","","","","","","",""
"",eco1,eco2,eco3,eco4,eco5,eco6,eco1,eco2,eco3,eco4,eco5,eco6,eco1,eco2,eco3,eco4,eco5,eco6
TIMESTEP,MEAN(mm),MEAN(mm),MEAN(mm),MEAN(mm),MEAN(mm),MEAN(mm),VARIANCE(mm^2),VARIANCE(mm^2),VARIANCE(mm^2),VARIANCE(mm^2),VARIANCE(mm^2),VARIANCE(mm^2),STD_DEV(mm),STD_DEV(mm),STD_DEV(mm),STD_DEV(mm),STD_DEV(mm),STD_DEV(mm)
2064-04-01T00:00:00Z,6.04540000000003,6.04540000000003,6.04540000000003,6.04540000000003,6.04540000000003,6.04540000000003,0,0,0,0,0,0,0,0,0,0,0,0
2064-05-01T00:00:00Z,11.37365,11.37365,11.37365,11.37365,11.37365,11.37365,0,0,0,0,0,0,0,0,0,0,0,0
2064-06-01T00:00:00Z,15.5542,15.5542,15.5542,15.5542,15.5542,15.5542,0,0,0,0,0,0,0,0,0,0,0,0
2064-07-01T00:00:00Z,21.68405,21.68405,21.68405,21.68405,21.68405,21.68405,0,0,0,0,0,0,0,0,0,0,0,0
2064-08-01T00:00:00Z,20.53576,20.53576,20.53576,20.53576,20.53576,20.53576,0,0,0,0,0,0,0,0,0,0,0,0
2064-09-01T00:00:00Z,14.83044,14.83044,14.83044,14.83044,14.83044,14.83044,0,0,0,0,0,0,0,0,0,0,0,0
2064-10-01T00:00:00Z,7.52676000000002,7.52676000000002,7.52676000000002,7.52676000000002,7.52676000000002,7.52676000000002,0,0,0,0,0,0,0,0,0,0,0,0
2064-11-01T00:00:00Z,4.7654,4.7654,4.7654,4.7654,4.7654,4.7654,0,0,0,0,0,0,0,0,0,0,0,0
2064-12-01T00:00:00Z,3.0206,3.0206,3.0206,3.0206,3.0206,3.0206,0,0,0,0,0,0,0,0,0,0,0,0
2065-01-01T00:00:00Z,-0.424599999999998,-0.424599999999998,-0.424599999999998,-0.424599999999998,-0.424599999999998,-0.424599999999998,0,0,0,0,0,0,0,0,0,0,0,0
2065-02-01T00:00:00Z,1.57986,1.57986,1.57986,1.57986,1.57986,1.57986,0,0,0,0,0,0,0,0,0,0,0,0
2065-03-01T00:00:00Z,3.01718,3.01718,3.01718,3.01718,3.01718,3.01718,0,0,0,0,0,0,0,0,0,0,0,0
2065-04-01T00:00:00Z,6.31344000000001,6.31344000000001,6.31344000000001,6.31344000000001,6.31344000000001,6.31344000000001,0,0,0,0,0,0,0,0,0,0,0,0
2065-05-01T00:00:00Z,14.79293,14.79293,14.79293,14.79293,14.79293,14.79293,0,0,0,0,0,0,0,0,0,0,0,0
2065-06-01T00:00:00Z,17.18243,17.18243,17.18243,17.18243,17.18243,17.18243,0,0,0,0,0,0,0,0,0,0,0,0
2065-07-01T00:00:00Z,17.57144,17.57144,17.57144,17.57144,17.57144,17.57144,0,0,0,0,0,0,0,0,0,0,0,0
2065-08-01T00:00:00Z,17.49084,17.49084,17.49084,17.49084,17.49084,17.49084,0,0,0,0,0,0,0,0,0,0,0,0
2065-09-01T00:00:00Z,13.59802,13.59802,13.59802,13.59802,13.59802,13.59802,0,0,0,0,0,0,0,0,0,0,0,0
2065-10-01T00:00:00Z,10.05,10.05,10.05,10.05,10.05,10.05,0,0,0,0,0,0,0,0,0,0,0,0
2065-11-01T00:00:00Z,4.63537000000002,4.63537000000002,4.63537000000002,4.63537000000002,4.63537000000002,4.63537000000002,0,0,0,0,0,0,0,0,0,0,0,0
2065-12-01T00:00:00Z,-0.647339999999986,-0.647339999999986,-0.647339999999986,-0.647339999999986,-0.647339999999986,-0.647339999999986,0,0,0,0,0,0,0,0,0,0,0,0
2066-01-01T00:00:00Z,-4.53353999999996,-4.53353999999996,-4.53353999999996,-4.53353999999996,-4.53353999999996,-4.53353999999996,0,0,0,0,0,0,0,0,0,0,0,0
2066-02-01T00:00:00Z,1.84283000000005,1.84283000000005,1.84283000000005,1.84283000000005,1.84283000000005,1.84283000000005,0,0,0,0,0,0,0,0,0,0,0,0
2066-03-01T00:00:00Z,1.81713000000002,1.81713000000002,1.81713000000002,1.81713000000002,1.81713000000002,1.81713000000002,0,0,0,0,0,0,0,0,0,0,0,0
2066-04-01T00:00:00Z,6.9744,6.9744,6.9744,6.9744,6.9744,6.9744,0,0,0,0,0,0,0,0,0,0,0,0
2066-05-01T00:00:00Z,12.71874,12.71874,12.71874,12.71874,12.71874,12.71874,0,0,0,0,0,0,0,0,0,0,0,0
2066-06-01T00:00:00Z,16.37786,16.37786,16.37786,16.37786,16.37786,16.37786,0,0,0,0,0,0,0,0,0,0,0,0
2066-07-01T00:00:00Z,19.49874,19.49874,19.49874,19.49874,19.49874,19.49874,0,0,0,0,0,0,0,0,0,0,0,0
2066-08-01T00:00:00Z,19.12145,19.12145,19.12145,19.12145,19.12145,19.12145,0,0,0,0,0,0,0,0,0,0,0,0
2066-09-01T00:00:00Z,15.407,15.407,15.407,15.407,15.407,15.407,0,0,0,0,0,0,0,0,0,0,0,0
2066-10-01T00:00:00Z,8.53100000000001,8.53100000000001,8.53100000000001,8.53100000000001,8.53100000000001,8.53100000000001,0,0,0,0,0,0,0,0,0,0,0,0
2066-11-01T00:00:00Z,4.06506000000002,4.06506000000002,4.06506000000002,4.06506000000002,4.06506000000002,4.06506000000002,0,0,0,0,0,0,0,0,0,0,0,0
2066-12-01T00:00:00Z,0.766999999999996,0.766999999999996,0.766999999999996,0.766999999999996,0.766999999999996,0.766999999999996,0,0,0,0,0,0,0,0,0,0,0,0
2067-01-01T00:00:00Z,-6.56317999999999,-6.56317999999999,-6.56317999999999,-6.56317999999999,-6.56317999999999,-6.56317999999999,0,0,0,0,0,0,0,0,0,0,0,0
